id,id_tipo_propiedad,descripcion,habitaciones,banos,dimension_propiedad,dimension_terreno,direccion,direccion_2,id_comuna,id_provincia,id_region,id_antiguedad,year,gastos_comunes,piso,estacionamientos,amoblado,cantidad_caracteristicas,precio_en_uf
4160779,2," Santiago Centro, departamento casi nuevo, San Isidro, Metro Santa Lucìa, de 54 mt2 de superficie total ubicado en el piso veinte,  orientación norte. Consta de  amplio living comedor con piso de flotante, terraza. Cocina americana, amoblada y equipada, full eléctrica, despensa,  instalación para lavadora. Consta de dos dormitorios (uno en suite); tres closet, dos baños (uno de visita; citofonos.  Conexión a TV cable y wifi. La venta es con estacionamiento y bodega.  Gastos comunes $ 77.000.- Contribuciones $ 100.000.- trimestral. El edificio, cuenta con conserjería, sala de eventos, dos quinchos, aceptan mascotas. Excelente conectividad. 

PRECIO   $ 100.000.000.-

Arrienda Proyección Propiedades
",2,2,54.0,54.0,"Santiago Centro, San Isidro, Metro U.C, departamento nuevo, dormitorios, dos baños, estacionamiento bodega, Se Vende",<null>,275,43,13,1,,77000.0,20.0,1.0,f,11.0,3657.01713934223
4696617,2,"Excelente Inversión a pasos del Estadio Español y del Metro Escuela Militar.
Hall de ingreso, living comedor, cocina equipada y amoblada.
2 dormitorios y 1 baño con iluminación y ventilación natural
ESTACIONAMIENTO - Sin bodega.",2,1,55.0,56.0,GRAN INVERSIÓN /PUERTA DEL SOL / NEVERIA,Las Condes                                                                                                                                                                                                                                                     ,288,43,13,2,0.0,100000.0,,1.0,f,,4716.83736780156
4672095,2,"* Sector: Vicuña Mackenna - Porvenir
* Precio venta: $46.900.000
* Descripción: Departamento Estudio + un baño (sin estacionamiento ni bodega)

Disponible!! Hermoso departamento, cercano a malls, parques, supermercado, metros, etc.

Detalles:
* Tipo Estudio
* Un baño
* Tercer piso
* Año construcción 2008
* Gastos comunes $25.000 aprox
* 26 mts

NO TIENE ESTACIONAMIENTO
NO TIENE BODEGA

Áreas Comunes:
* Sala multiuso
* Mini Gym
* Central de agua caliente
* Quinchos
* Juegos para niños entre otros
* Excelente inversión

Interesados envíe mail o ingrese a contáctenos de nuestra web para coordinación de visita 
* Nombre 
* Celular
* Rut 
 | Celular / whatsaap - (Para consultas puedes escribirnos en el formulario de contacto).",1,1,26.0,26.0,COD: JF VICUÑA MACKENNA - PORVENIR,Ñuñoa                                                                                                                                                                                                                                                          ,294,43,13,2,0.0,25000.0,,0.0,f,1.0,1707.28040424323
5211610,1,"Casa dentro de condominio con seguridad 24 horas.
1º piso: Hall de entrada, living y comedor juntos, dormitorio principal en suite con walk in closet, baño principal con  tina hidromasaje, cocina amoblada, baño visita y escritorio, Loggia cerrada, linda terraza. Pisos: Flotante y cerámico.
2º piso: Amplia sala de  estar, 2 dormitorios, pequeña bodega, baño completo. Jardín, patio con piscina, 2 estacionamientos.
El condominio cuenta con áreas verdes y plaza con juegos infantiles, seguridad 24/7 con citofonia
Casa aislada, 1 vecino lateral, orientación norponiente, planta 2º piso con dormitorio sugerido en sala de estar, la casa se entrega con toldo de terraza, cortinas , lamparas.",3,3,140.0,281.0,Hermosa casa en condominio tranquilo de Huechuraba,Huechuraba                                                                                                                                                                                                                                                     ,281,43,13,2,0.0,0.0,,2.0,f,,7700.0
4574717,2,<null>,2,2,80.69,94.38,Roberto del Río 1084,<null>,297,43,13,1,,,4.0,,<null>,0.0,8373.0
4273729,2,"Departamento muy bien ubicado a pasos del barrio El Golf. Cuenta con recibos separados, baño de visita, 4 amplios dormitorios ( 2 en suite), los otros dos dormitorios comparten un baño. Cocina amplia, servicios, logia y despensa. 2 estacionamientos y 1 bodega. Piso 11.",4,4,180.0,220.0,Hamlet 4200 Dpto 1102,<null>,288,43,13,2,,,11.0,2.0,f,23.0,12900.0
4446453,1,"A PASOS DE BARRIO ITALIA - PARA REMODELAR COMPLETA.
Muy buena propiedad años 30. Sólida. Aislada.
Buen terreno con lugar para estacionamiento de 3 vehículos.
Originalmente con hall de ingreso, living comedor de muy buen tamaño. 3 Dormitorios en segunda planta.
Dos Baños. Cocina. Sector de servicio.
Posibilidad de uso profesional o comercial.",3,2,116.0,245.0,ABELARDO PIZARRO / CONDELL,Providencia                                                                                                                                                                                                                                                    ,297,43,13,2,0.0,0.0,,3.0,f,,11390.9305701016
5559015,1,"Excelente propiedad en condominio, cercano a colegios, supermercados y strip center, gran conectividadPrimer Piso: hall entrada, family Room, living comedor, cocina amoblada y equipada, logia cerrada y techada, baño de visitas.Segundo Piso: Dormitorio principal en suite con closet, 2 dormitorios,baño completoExterior: Condominio con seguridad 24/7, piscina, sala de eventos, cuenta con estacionamiento para 2 autos, jardin",3,3,93.95,164.0,"EN CONDOMINIO; COLEGIOS, COMERCIO",Huechuraba                                                                                                                                                                                                                                                     ,281,43,13,2,0.0,50000.0,,0.0,f,,4550.0
4139886,1,"INVERSIONISTAS CASA ROTONDA ATENAS Excelente casa, lugar residencial, cercano a supermercados, farmacias, bancos, bencineras, restaurantes, conectividad a otras comunas a pasos de Rotonda Atenas, para remodelar. Cuenta con: - 4 Dormitorios uno de servicios con piso de Parquet. - 2 baños con piso y murallas de cerámica. - Living comedor con piso de cerámica. - Cocina amoblada con salida a patio interior. - Estacionamiento para 2 autos. - Patio delantero con terraza. - Vista Oriente. - 1 bodega.",4,2,87.0,207.0,Colon - Mayecura,las condes                                                                                                                                                                                                                                                     ,288,43,13,2,0.0,0.0,,1.0,f,,7012.61495613609
5151644,2,"EXCELENTE DEPARTAMENTO de orientación Norte y Poniente, ubicado en uno de los mejores sectores residenciales de Vitacura antigua, en calle tranquila y apacible, próximo a Nueva Costanera, Candelaria Goyenechea y Américo Vespucio.<br /><br />Los 234 m2 se distribuyen de la siguiente manera:<br />Hall de distribución, living y comedor aparte con 2 amplias terrazas, 4 dormitorios, 4 baños mas pieza y baño de servicio, cocina con comedor de diario y logia cerrada.<br /><br />El dormitorio principal en suite, de 18,5 m2, walk in closet, baño con iluminación y ventilación natural. La orientación de 3 de los dormitorios, el living, el comedor y las terrazas es Norte.<br /><br />Terminaciones: Recibos con piso de madera y dormitorios alfombrados, ventanas de termopanel, calefacción por losa radiante con medidor individual.<br />El departamento cuenta con 3 estacionamientos y 2 bodegas.<br />Como ventaja adicional, el departamento tiene 2 ROLES y gracias a su diseño arquitectónico es posible perfectamente separarlo en 2 departamentos independientes.<br />",4,5,200.0,234.0,Agustín del Castillo / Candelaria Goyenechea,Vitacura                                                                                                                                                                                                                                                       ,306,43,13,2,0.0,400000.0,,3.0,f,,18500.0
4321293,2,"Gran departamento como nuevo en Condominio Bosques de la Pirámide, Edificio Las Palmas, construcción año 2015. Tiene 3 dormitorios, hall de entrada, sala de estar, grandes terrazas, logia. Ventanales termopanel. Departamento incluye cortinas, 2 aire acondicionados, quincho con parrilla y frigobar, mueble a medida en sala de estar, mueble a medida en logia, cajones a medida y un radiador extra en pieza 2.@¬2 estacionamientos en subterráneo, una amplia bodega. Condominio cuenta con áreas verdes, jardines con juegos para niños, piscina y quinchos con fogón, hectáreas de cerro también con quinchos y senderos para caminar o trotar.  Edificio cuenta con acceso controlado las 24 hrs, excelente conectividad a Vitacura, Providencia, Autopistas y Aeropuerto.. Alberto Eduardo Alfaro  - (Para consultas puedes escribirnos en el formulario de contacto).",3,3,118.0,154.0,Bosques de La Piramide - Bosques de la pirámide,Huechuraba                                                                                                                                                                                                                                                     ,281,43,13,2,0.0,0.0,,2.0,f,,8290.0
5644775,2,Acogedor. Luminoso. Recibos. 3 dormitorios. 1 baño. Cocina tradicional amoblada. Logia. Sector residencial. Estacionamiento. Bodega,3,1,58.0,3.0,San Ignacio / Metro Parque O'higgins / Con Estacionamiento,Santiago                                                                                                                                                                                                                                                       ,275,43,13,2,0.0,0.0,,0.0,f,,2683.56957690842
4729252,1,"En venta excelente casa estilo chilena de 586 Mts2 de TERRENO y 145 Mts2 de CONSTRUCCION, 4 dormitorios más 1 dormitorio de servicio, 3 baños más 1 baño de servicio, sala de estar, espaciosa cocina amoblada y equipada con comedor de diario, logia techada independiente, amplio living y comedor separados, jardín formado, gran PISCINA, terraza, quincho y estacionamiento con capacidad para 2 autos, ubicada en el exclusivo Condominio Casa Grande en Peñalolén, cercano a colegios, centros comerciales, áreas verdes y con muy buena conectividad.<br>
<BR>Adicionalmente posee pisos de cerámica en el living, comedor, cocina, logia y baños, alfombra en los dormitorios y calefacción por losa radiante. Gastos comunes: $70.000<br>
<BR>RE/MAX Líder Mundial en Gestión Inmobiliaria se abre a Canje con toda su cartera de propiedades, con el objetivo de obtener una mayor velocidad de venta y entregar un excelente servicio a nuestros clientes.",5,4,145.0,586.0,Avenida Las Perdices 2521-B,Peñalolén                                                                                                                                                                                                                                                      ,296,43,13,2,1997.0,0.0,,2.0,f,,9600.0
4389396,2,"Precioso departamento en primer piso con jardín de uso y goce exclusivo, en muy buen estado, con excelente distribución y amplios espacios. Orientación norte-poniente-sur.

Hall de entrada, living y comedor separado, el living tiene una estar cerrado que antes era  terraza y desde ahí se accede al jardín de uso exclusivo del departamento. Tres dormitorios, principal en 4 dormitorios, principal en suite, 3 baños, pieza y baño de servicio, cocina con comedor de diario, lavadero.
4 estacionamientos subterráneos en tandem y bodega.

El condominio cuenta con hermosos y tranquilos jardines. Cercano a comercio, colegios, universidad Federico  Santa María, acceso a Costanera Norte.
",5,4,215.0,0.0,Vitacura,Vitacura                                                                                                                                                                                                                                                       ,306,43,13,2,0.0,0.0,,4.0,f,,15500.0
4177772,2,"Lindo departamento hall, living comedor de buen tamaño con amplia terraza que cuenta con parrilla y  vista a los jardines. Cocina con comedor de diario y loggia,   2 dormitorios en suite más un tercer dormitorio que puede ser de servicio o tercer dormitorio que , también cuenta baño y sala de estar en sector dormitorios. Baño de visitas, además el departamento cuenta con 2 estacionamientos, y una amplia bodega.
 Edificio de categoría semi nuevo 2 años de antiguedad, cercano al Portal, supermercados, farmacia y a pasos de la Costanera Norte",3,4,120.0,120.0,"El Roble 12729, Lo Barnechea, Región Metropolitana, Chile",<null>,289,43,13,2,,,3.0,2.0,f,17.0,11000.0
4076610,1,"OPORTUNIDAD !!!! PASOS COSTANERA. IDEAL REMODELAR. Casa de tres niveles ubicada en Camino Turístico. Piso 1. Hall de acceso, piedra pizarra, baño de visitas; comedor con piso flotante, cocina con separaciones, comedor de diario. Nivel 2: acceso a living, piso flotante y salida a terraza con linda vista; y acceso al un bar. Nivel Zócalo: dormitorio principal en suite, con walking closet, baño con hidromasaje y gran terraza. Planta baja: salita de distribución, dos dormitorios, un baño y un 3er, dormitorio pequeño o escritorio. Dos bodegas exterior. Pieza y baño de servicio. Lavandería techada. Jardín con grandes árboles. Quincho exterior rodeado entorno natural. Estacionamientos para 3 a 4 autos. PLANOS  - (Para consultas puedes escribirnos en el formulario de contacto).",3,3,230.0,812.0,Jardín Dehesa/ Turístico,Lo Barnechea                                                                                                                                                                                                                                                   ,289,43,13,2,0.0,0.0,,1.0,f,,14900.0
4224116,1,"Hermosa propiedad  ubicada en la comuna de La Florida, cercano a metro Rojas Magallanes, comercio, locomocion a solo pasos de la propiedad. Construccion solida, areas verdes, juegos infantiles que ayudan a privilegiar la vida en familia y tranquila sin estar alejados de las principales vias de movilizacion de la comuna otorgandole una conectividad exclusiva y unica.


Caracteristicas:

-  4 Dormitorios (todos con closet)
- 1 Baño 
- Cocina
- Living Comedor
- Proteccion en ventanas 
- Entradas laterales
- Patio delantero y trasero
-  Orientacion: Oriente
- 1 piso

Precio: $126.900.000 CONVERSABLE!",4,1,190.0,190.0,"Rojas Magallanes, La Florida, Región Metropolitana, Chile",<null>,284,43,13,2,,,1.0,1.0,t,7.0,4690.02934502206
5519560,2,"Se vende excelente departamento con ubicación privilegiada, El Golf Norte,  luminoso departamento Suroriente, cercano a estación Metro El Golf, Hotel W, Restaurantes.
Consta de;  Amplio Hall de acceso, living comedor, salida a terraza con vista al sur.
Amplia cocina con ventanales y equipadísima, muy luminosa, logia y baño de servicios (sin dormitorio)
3 dormitorios, principal en Suite. Vista Oriente,  2 baños completos,  1 baño de visita.
Calefacción por losa radiante, piso flotante en living comedor y en dormitorios.
Piso de Porcelanato en Hall de entrada, piso cocina y Baños de  cerámicos.
El edificio cuenta con piscina,  Jardines,  Conserje las 24 horas,  Cámaras de seguridad.
Edificio construido el año 1990
Gastos comunes aprox. $300.000.-
Se vende con 2 estacionamientos.
Vende corredora de propiedades
",3,4,160.0,180.0,"Presidente Riesco, Renacimiento Italiano, Las Condes, Provincia de Santiago, Región Metropolitana de Santiago, 7550000, Chile",<null>,288,43,13,2,1990.0,300000.0,13.0,2.0,f,24.0,13000.0
5427686,2,"Edificio Patagonia Plaza & Spa, una propuesta urbana y moderna. Emplazado en uno de los mejores sectores de la comuna de Providencia, cercano a servicios, colegios y próxima Línea 6 del Metro, ofrece conectividad y comodidad a sus residentes. Cuenta con solo 78 departamentos distribuidos en 12 pisos de amplios espacios y un primer piso solo de parques. Sin duda, el mejor proyecto de la comuna de Providencia.Departamentos de 2 dormitorios y 2 baños, piso porcelanato, ventanas termopanel con marco aluminio lacado, cubiertas de Quartz Stone, cocina equipada con encimera vitrocerámina. barandas de cristal templado, calefacción eléctrica individual.Departamentos inteligentes con domótica.El edificio cuenta con piscina temperada, jardín interior, sala multiuso, lavandería y quincho. Estacionamiento interior para bicicletas.Departamentos desde UF8.019 a UF9.574 iva incluido.Valor no incluye bodega (UF100) y no incluye estacionamiento (UF330 a UF400).",2,2,81.83,94.41,Pocuro/Los Leones,Providencia                                                                                                                                                                                                                                                    ,297,43,13,2,0.0,0.0,,0.0,f,,8019.0
4250729,2,"ENTREGA SEPTIEMBRE 2018, VISTA DESPEJADA CERRO MANQUEHUE, DCTO. EXCLUSIVO CORCOBAN BIENES RAÍCES

Exclusivo edificio de 8 pisos y 2 subterráneos 27 departamentos DFL-2, separados en 2 núcleos independientes
Modernas cocinas equipadas con encimera vitrocerámica, horno eléctrico, microondas, campana y lavavajillas
Ventanas con termopanel de PVC color madera, innovador sistema de calefacción individual eléctrico
Amplia terraza con barandas de cristal


OTRAS UNIDADES DISPONIBLES:
Desde 86,16 a 177,28 m2 útiles, más terrazas
Departamentos en primer piso con jardín privado
2 Departamentos penthouses en 8º piso
Talleres privados en primer piso con baño

Consultar por estacionamientos y bodegas. ",2,2,86.16,106.23,NUEVO! FERNANDO DE ARGUELLO,Vitacura                                                                                                                                                                                                                                                       ,306,43,13,2,0.0,150000.0,,0.0,f,,10339.9999854892
5410264,1,"Estupenda casa Piedra Roja en condominio con acceso controlado 7/24 cerca colegios, comercio y acceso Pie Andino y radial Nororiente. 
Descripción: Hall de entrada, living y comedor independientes, baño de visitas. Cocina con comedor de diarios, cubierta de granito, equipada con campana, horno y encimera. Amplia sala de estar con espacio para escritorio u otro ambiente, dormitorios principal en suite, dos dormitorios secundarios y un baño completo. Jardín con riego automático, terraza techada, piscina, y gran bodega.

Contribuciones 	$250.000
Gastos comunes	$110.000

*Vende o compra tu propiedad con CyM Propiedades y acumula millas LATAM PASS.",4,4,170.0,600.0,PIEDRA ROJA NORTE,Colina                                                                                                                                                                                                                                                         ,310,45,13,2,0.0,0.0,,0.0,f,,10500.0
5358000,1,"Se vende propiedad cercana a la alameda en avenida principal radal con 2 locales comerciales ideal para comerciantes e inversionistas casa muy amplia consta de 3 dormitorios, living, comedor, cocina, baño patio trasero muy amplio.
400m2 de terreno y 99.5 m2 construidos.. PRECIO COMBERSABLE. ",3,2,99.5,400.0,"Radal / Porto Seguro, Porto Seguro, Estación Central, Provincia de Santiago, Región Metropolitana de Santiago, 8500445, Chile",                                                                                                                                                                                                                                                               ,280,43,13,2,1950.0,,1.0,,f,24.0,8.25755826874187
4900023,2,"Lindo departamento amoblado, hermosas vistas y apacible entorno, cercano al metro. 4 Dormitorios, principal en suite, 4 baños, living comedor con salida a terraza, cocina totalmente equipada y con comedor de diario,logia techada. 2 estacionamientos y bodega.Muy Luminoso. Edifiocio cuenta con piscina,quincho, gimnasio, sala de cine y reuniones.",4,4,150.0,175.0,Cerro Altar y Garcia Pica,Las Condes                                                                                                                                                                                                                                                     ,288,43,13,2,0.0,215000.0,,0.0,t,,14690.0
4868783,1,"CARACTERÃSTICAS: Casa en sector residencial, en Eco Urbe, cercana a colegio y centro comercial, con acceso a club house, talleres, punto limpio y otros servicios.  PRIMER PISO: Hall de entrada doble altura, Living, comedor, cocina equipada, loggia cerrada. BaÃ±o de visitas, escritorio, dormitorio principal en suite y walk in closet.  SEGUNDO PISO: Sala de estar, dos dormitorios y baÃ±o completo.  DETALLE INTERIOR: Chapa con huella digital en acceso principal. Aire acondicionado en dormitorio principal y sala estar de segundo piso. Ablandador de agua para interior de la casa y purificador para consumo de agua purificada en la llave de la cocina. Mosquiteros en algunas ventanas. Amplia Loggia totalmente cerrada. Cortinas Roller instaladas en living y comedor, escritorio, sala de estar. ApliquÃ©s en techo instalados. CalefacciÃ³n por radiadores instalados. Dormitorios y sala de estar con piso alfombrado. Cocina reciÃ©n pintada.  DETALLE EXTERIOR: Piscina de 9x4, 5mts con deck de madera y rejas tipo peineta con puerta de acceso para protecciÃ³n de los menores. Terraza techada en todo el borde de la casa a jardÃ­n, con piso de piedra pizarra y ventilador en techo. Barbecue con bandeja y engranaje para regular altura. JardÃ­n armado con riego automÃ¡tico, Jardinera en borde de piscina y costado sur del patio. IluminaciÃ³n en perÃ­metro del patio para realzar el paisajismo. Estacionamiento cubierto para dos vehÃ­culos. Casa ubicada frente a Plaza de juegos del condominio.  Todos los metrajes son aproximados.",3,3,174.0,601.0,liray / lo pinto / chicureo,colina                                                                                                                                                                                                                                                         ,310,45,13,2,0.0,0.0,,0.0,f,,8700.0
4833942,2,"Increíble Ubicación!!! A pasos de Apoquindo y metro Manquehue. 
Departamento con living comedor juntos de buen tamaño, cocina equipada, 2 dormitorios y 2 baños, con 1 estacionamiento y 1 bodega, terraza y pequeña logia.
El edificio cuenta con linda piscina.
GC $80.000 aprox.",2,2,80.0,88.0,Metro Manquehue,<null>,288,43,13,2,,80000.0,,1.0,f,10.0,5804.29583189889
4258616,2,"Venta de Promesas de Compraventa Activa Hipódromo, Independencia.Departamento 1D/1B (38 MT2), Hipódromo Chile 1886, Independencia.Departamento: 1612Piso: 16Superficie: 33,04 mt2 útiles y 4,87 mt2 Terraza. Total 37,91 mt2.Orientación: Poniente.Se vende promesa de compraventa 521 UF, fecha de entrega julio 2018. El precio de venta del departamento es de 2.100 UF, generando un ahorro de 200 UF respecto al valor actual (2.300 UF), la solicitud del hipotecario es por 1.579 UF (80%).Excelente ubicación, cercano a futura estación plaza Chacabuco del metro línea 3, nuevo mall de independencia, supermercados, restaurantes, hospitales y universidades. El departamento cuenta con ventanas termopanel (aislación termo-acustica), pantalla video portero, mármol en baño, granito cocina y enchufe USB.Oportunidad para inversionistas. Agente Octavio Ramirez V- +569 - KP10371 - Publicado por Kiteprop.com - (Para consultas puedes escribirnos en el formulario de contacto).",1,1,38.0,38.0,,Independencia                                                                                                                                                                                                                                                  ,282,43,13,2,2018.0,50000.0,,0.0,f,,2050.0
4098419,2,"En edificio de 7 pisos se encuentra departamento piso 3 que consta de amplio y luminoso living comedor con salida a terraza. 4 dormitorios, uno de ello más pequeño, 3 baños, cocina logia, estacionamiento y bodega en subterráneo. Cercano a Colegios, Supermercados, Plaza alcaldesa, buena locomoción, Barrio tranquilo y residencial. Conserjería 24 horas. Edificio no cuenta con piscina. Gastos comunes $220.000. Contribuciones $160.000.- Vista Norte y poniente. Alejandro Jaime propiedades. Visítelo!!!!! Cómodo, amplio y luminoso. Código Interno 37.293 - (Para consultas puedes escribirnos en el formulario de contacto).",4,3,118.0,125.0,Holanda/Mariategui,providencia                                                                                                                                                                                                                                                    ,297,43,13,2,0.0,0.0,,1.0,f,,6826.14427782117
5609071,1,"Amplia y acogedora casa aislada ubicada en loteo las vizcachas un tranquilo lugar, rodeado de áreas verdes naturaleza aire puro con acceso controlado las 24 horas del día.
Amplio terreno 1.000 m2 5 dormitorios, 3 baños, amplio living comedor separado, cocina equipada comedor de diario, antejardin, piscina, amplio patio trasero con salida a dos calles, la propiedad se encuentra en un excelente estado de conservación buena plusvalía, cercano a colegios, supermercados, centros comerciales, centros de salud, locomoción, entretencion.
VENDE TUS CORREDORES ",5,3,160.0,1000.0,Camino El Volcan,<null>,307,44,13,2,,,,3.0,f,23.0,8193.83244149371
